In,PunchCode,PunchDate,Hours,Weekday
1,OUT,8/1/2020,0,Saturday
2,MAEL,8/1/2020,0,Saturday
3,MEAL,8/1/2020,0,Saturday
4,INN,8/1/2020,0,Saturday
5,OUT,7/31/2020,0,Friday
6,MAEL,7/31/2020,0,Friday
7,MEAL,7/31/2020,0,Friday
8,INN,7/31/2020,0,Friday
9,OUT,7/30/2020,1020,Thursday
10,MAEL,7/30/2020,0,Thursday
11,MEAL,7/30/2020,0,Thursday
12,INN,7/30/2020,480,Thursday
13,OUT,7/29/2020,990,Wednesday
14,MAEL,7/29/2020,841,Wednesday
15,MEAL,7/29/2020,812,Wednesday
16,INN,7/29/2020,504,Wednesday
17,OUT,7/28/2020,1006,Tuesday
18,MAEL,7/28/2020,779,Tuesday
19,MEAL,7/28/2020,756,Tuesday
20,INN,7/28/2020,497,Tuesday
21,OUT,7/27/2020,1006,Monday
22,MAEL,7/27/2020,834,Monday
23,MEAL,7/27/2020,810,Monday
24,INN,7/27/2020,501,Monday
25,OUT,7/25/2020,0,Saturday
26,MAEL,7/25/2020,0,Saturday
27,MEAL,7/25/2020,0,Saturday
28,INN,7/25/2020,0,Saturday
29,OUT,7/24/2020,1005,Friday
30,MAEL,7/24/2020,852,Friday
31,MEAL,7/24/2020,826,Friday
32,INN,7/24/2020,499,Friday
33,OUT,7/23/2020,1006,Thursday
34,MAEL,7/23/2020,784,Thursday
35,MEAL,7/23/2020,750,Thursday
36,INN,7/23/2020,503,Thursday
37,OUT,7/22/2020,1005,Wednesday
38,MAEL,7/22/2020,0,Wednesday
39,MEAL,7/22/2020,0,Wednesday
40,INN,7/22/2020,640,Wednesday
41,OUT,7/21/2020,1005,Tuesday
42,MAEL,7/21/2020,782,Tuesday
43,MEAL,7/21/2020,756,Tuesday
44,INN,7/21/2020,498,Tuesday
45,OUT,7/20/2020,1006,Monday
46,MAEL,7/20/2020,785,Monday
47,MEAL,7/20/2020,757,Monday
48,INN,7/20/2020,497,Monday
49,OUT,7/18/2020,780,Saturday
50,MAEL,7/18/2020,0,Saturday
51,MEAL,7/18/2020,0,Saturday
52,INN,7/18/2020,530,Saturday
53,OUT,7/17/2020,660,Friday
54,MAEL,7/17/2020,0,Friday
55,MEAL,7/17/2020,0,Friday
56,INN,7/17/2020,480,Friday
57,OUT,7/16/2020,1083,Thursday
58,MAEL,7/16/2020,835,Thursday
59,MEAL,7/16/2020,805,Thursday
60,INN,7/16/2020,497,Thursday
61,OUT,7/15/2020,1005,Wednesday
62,MAEL,7/15/2020,0,Wednesday
63,MEAL,7/15/2020,0,Wednesday
64,INN,7/15/2020,502,Wednesday
65,OUT,7/14/2020,1005,Tuesday
66,MAEL,7/14/2020,813,Tuesday
67,MEAL,7/14/2020,786,Tuesday
68,INN,7/14/2020,502,Tuesday
69,OUT,7/13/2020,1005,Monday
70,MAEL,7/13/2020,826,Monday
71,MEAL,7/13/2020,795,Monday
72,INN,7/13/2020,497,Monday
73,OUT,7/11/2020,0,Saturday
74,MAEL,7/11/2020,0,Saturday
75,MEAL,7/11/2020,0,Saturday
76,INN,7/11/2020,0,Saturday
77,OUT,7/10/2020,1005,Friday
78,MAEL,7/10/2020,779,Friday
79,MEAL,7/10/2020,750,Friday
80,INN,7/10/2020,497,Friday
81,OUT,7/9/2020,1005,Thursday
82,MAEL,7/9/2020,812,Thursday
83,MEAL,7/9/2020,781,Thursday
84,INN,7/9/2020,502,Thursday
85,OUT,7/8/2020,1006,Wednesday
86,MAEL,7/8/2020,840,Wednesday
87,MEAL,7/8/2020,811,Wednesday
88,INN,7/8/2020,497,Wednesday
89,OUT,7/7/2020,1005,Tuesday
90,MAEL,7/7/2020,826,Tuesday
91,MEAL,7/7/2020,795,Tuesday
92,INN,7/7/2020,500,Tuesday
93,OUT,7/6/2020,1005,Monday
94,MAEL,7/6/2020,854,Monday
95,MEAL,7/6/2020,822,Monday
96,INN,7/6/2020,496,Monday
97,OUT,7/4/2020,0,Saturday
98,MAEL,7/4/2020,0,Saturday
99,MEAL,7/4/2020,0,Saturday
100,INN,7/4/2020,0,Saturday
101,OUT,7/3/2020,1005,Friday
102,MAEL,7/3/2020,842,Friday
103,MEAL,7/3/2020,810,Friday
104,INN,7/3/2020,503,Friday
105,OUT,7/2/2020,1005,Thursday
106,MAEL,7/2/2020,812,Thursday
107,MEAL,7/2/2020,780,Thursday
108,INN,7/2/2020,500,Thursday
109,OUT,7/1/2020,1006,Wednesday
110,MAEL,7/1/2020,0,Wednesday
111,MEAL,7/1/2020,0,Wednesday
112,INN,7/1/2020,499,Wednesday
113,OUT,6/30/2020,1006,Tuesday
114,MAEL,6/30/2020,780,Tuesday
115,MEAL,6/30/2020,750,Tuesday
116,INN,6/30/2020,498,Tuesday
117,OUT,6/29/2020,1005,Monday
118,MAEL,6/29/2020,0,Monday
119,MEAL,6/29/2020,0,Monday
120,INN,6/29/2020,497,Monday
121,OUT,6/27/2020,781,Saturday
122,MAEL,6/27/2020,0,Saturday
123,MEAL,6/27/2020,0,Saturday
124,INN,6/27/2020,536,Saturday
125,OUT,6/26/2020,1005,Friday
126,MAEL,6/26/2020,814,Friday
127,MEAL,6/26/2020,782,Friday
128,INN,6/26/2020,496,Friday
129,OUT,6/25/2020,747,Thursday
130,MAEL,6/25/2020,0,Thursday
131,MEAL,6/25/2020,0,Thursday
132,INN,6/25/2020,495,Thursday
133,OUT,6/24/2020,1005,Wednesday
134,MAEL,6/24/2020,753,Wednesday
135,MEAL,6/24/2020,725,Wednesday
136,INN,6/24/2020,499,Wednesday
137,OUT,6/23/2020,1005,Tuesday
138,MAEL,6/23/2020,0,Tuesday
139,MEAL,6/23/2020,0,Tuesday
140,INN,6/23/2020,504,Tuesday
141,OUT,6/22/2020,1004,Monday
142,MAEL,6/22/2020,851,Monday
143,MEAL,6/22/2020,819,Monday
144,INN,6/22/2020,496,Monday
145,OUT,6/20/2020,0,Saturday
146,MAEL,6/20/2020,0,Saturday
147,MEAL,6/20/2020,0,Saturday
148,INN,6/20/2020,0,Saturday
149,OUT,6/19/2020,989,Friday
150,MAEL,6/19/2020,0,Friday
151,MEAL,6/19/2020,0,Friday
152,INN,6/19/2020,496,Friday
153,OUT,6/18/2020,1005,Thursday
154,MAEL,6/18/2020,0,Thursday
155,MEAL,6/18/2020,0,Thursday
156,INN,6/18/2020,499,Thursday
157,OUT,6/17/2020,1005,Wednesday
158,MAEL,6/17/2020,872,Wednesday
159,MEAL,6/17/2020,840,Wednesday
160,INN,6/17/2020,499,Wednesday
161,OUT,6/16/2020,1005,Tuesday
162,MAEL,6/16/2020,781,Tuesday
163,MEAL,6/16/2020,752,Tuesday
164,INN,6/16/2020,491,Tuesday
165,OUT,6/15/2020,1005,Monday
166,MAEL,6/15/2020,875,Monday
167,MEAL,6/15/2020,845,Monday
168,INN,6/15/2020,507,Monday
169,OUT,6/13/2020,753,Saturday
170,MAEL,6/13/2020,0,Saturday
171,MEAL,6/13/2020,0,Saturday
172,INN,6/13/2020,530,Saturday
173,OUT,6/12/2020,990,Friday
174,MAEL,6/12/2020,0,Friday
175,MEAL,6/12/2020,0,Friday
176,INN,6/12/2020,508,Friday
177,OUT,6/11/2020,870,Thursday
178,MAEL,6/11/2020,0,Thursday
179,MEAL,6/11/2020,0,Thursday
180,INN,6/11/2020,509,Thursday
181,OUT,6/10/2020,991,Wednesday
182,MAEL,6/10/2020,0,Wednesday
183,MEAL,6/10/2020,0,Wednesday
184,INN,6/10/2020,506,Wednesday
185,OUT,6/9/2020,990,Tuesday
186,MAEL,6/9/2020,0,Tuesday
187,MEAL,6/9/2020,0,Tuesday
