Out time,Hours,Pay Code,Notes,Weekday,Total for week
8/1/2020,0,,,Saturday,
7/31/2020,0,,,Friday,
7/30/2020,9,SPECIALTIME,,Thursday,
7/29/2020,7.61,,,Wednesday,
7/28/2020,8.1,,,Tuesday,
7/27/2020,8.02,,,Monday,32.73
7/25/2020,0,,,Saturday,
7/24/2020,8,,,Friday,
7/23/2020,7.82,,,Thursday,
7/22/2020,6.08,,,Wednesday,
7/21/2020,8.02,,,Tuesday,
7/20/2020,8.01,,,Monday,37.93
7/18/2020,4.17,,,Saturday,
7/17/2020,3,PTO,,Friday,
7/16/2020,9.26,,,Thursday,
7/15/2020,7.88,,,Wednesday,
7/14/2020,7.93,,,Tuesday,
7/13/2020,7.95,,,Monday,40.19
7/11/2020,0,,,Saturday,
7/10/2020,7.99,,,Friday,
7/9/2020,7.87,,,Thursday,
7/8/2020,8,,,Wednesday,
7/7/2020,7.9,,,Tuesday,
7/6/2020,7.95,,,Monday,39.71
7/4/2020,0,,,Saturday,
7/3/2020,7.84,,,Friday,
7/2/2020,7.89,,,Thursday,
7/1/2020,7.95,,,Wednesday,
6/30/2020,7.97,,,Tuesday,
6/29/2020,7.97,,,Monday,39.62
6/27/2020,4.08,,,Saturday,
6/26/2020,7.95,,,Friday,
6/25/2020,4.2,,,Thursday,
6/24/2020,7.97,,,Wednesday,
6/23/2020,7.85,,,Tuesday,
6/22/2020,7.93,,,Monday,39.98
6/20/2020,0,,,Saturday,
6/19/2020,7.72,SPECIALTIME,,Friday,
6/18/2020,8.43,,,Thursday,
6/17/2020,7.9,,,Wednesday,
6/16/2020,8.08,,,Tuesday,
6/15/2020,7.8,,,Monday,39.93
6/13/2020,3.72,,,Saturday,
6/12/2020,7.53,,,Friday,
6/11/2020,6.02,,,Thursday,
6/10/2020,7.59,,,Wednesday,
6/9/2020,7.53,,,Tuesday,
6/8/2020,7.62,,,Monday,40.01
6/6/2020,4,,,Saturday,
6/5/2020,7,PTO,,Friday,
6/4/2020,7.07,,,Thursday,
6/3/2020,7.05,,,Wednesday,
6/2/2020,7.08,,,Tuesday,
6/1/2020,6.97,,,Monday,39.17
5/30/2020,4.03,,,Saturday,
5/29/2020,7.05,,,Friday,
5/28/2020,7.17,,,Thursday,
5/27/2020,7.15,,,Wednesday,
5/26/2020,8,PTO,,Tuesday,
5/25/2020,8,HOLDAY,,Monday,41.4
5/23/2020,2.75,SPECIALTIME,,Saturday,
5/22/2020,7.05,,,Friday,
5/21/2020,8,SPECIALTIME,,Thursday,
5/20/2020,7.07,,,Wednesday,
5/19/2020,8,SPECIALTIME,,Tuesday,
5/18/2020,7.07,,,Monday,39.94
5/16/2020,2.25,SPECIALTIME,,Saturday,
5/15/2020,7.12,,,Friday,
5/14/2020,8,SPECIALTIME,,Thursday,
5/13/2020,7.32,,,Wednesday,
5/12/2020,8,SPECIALTIME,,Tuesday,
5/11/2020,7.25,,,Monday,39.94
5/9/2020,2,SPECIALTIME,,Saturday,
5/8/2020,7.33,,,Friday,
5/7/2020,8,SPECIALTIME,,Thursday,
5/6/2020,7.33,,,Wednesday,
5/5/2020,8,SPECIALTIME,,Tuesday,
5/4/2020,7.33,,,Monday,39.99
5/2/2020,2.17,SPECIALTIME,,Saturday,
5/1/2020,7.35,,,Friday,
4/30/2020,8,SPECIALTIME,,Thursday,
4/29/2020,7.17,,,Wednesday,
4/28/2020,8,SPECIALTIME,,Tuesday,
4/27/2020,7.32,,,Monday,40.01
4/25/2020,0,,,Saturday,
4/24/2020,8,SPECIALTIME,,Friday,
4/23/2020,8,SPECIALTIME,,Thursday,
4/22/2020,8,SPECIALTIME,,Wednesday,
4/21/2020,8,SPECIALTIME,,Tuesday,
4/20/2020,8,SPECIALTIME,,Monday,40
4/18/2020,4.2,,,Saturday,
4/17/2020,7.15,,,Friday,
4/16/2020,7.23,,,Thursday,
4/15/2020,7.2,,,Wednesday,
4/14/2020,7.2,,,Tuesday,
4/13/2020,7.08,,,Monday,40.06
4/11/2020,0,,,Saturday,
4/10/2020,8,SPECIALTIME,,Friday,
4/9/2020,8,SPECIALTIME,,Thursday,
4/8/2020,8,SPECIALTIME,,Wednesday,
4/7/2020,8,SPECIALTIME,,Tuesday,
4/6/2020,8,SPECIALTIME,,Monday,40
4/4/2020,0,,,Saturday,
4/3/2020,8.1,,,Friday,
4/2/2020,8,SPECIALTIME,,Thursday,
4/1/2020,8.28,,,Wednesday,
3/31/2020,8.25,,,Tuesday,
3/30/2020,7.23,,,Monday,39.86
3/28/2020,3.78,,,Saturday,
3/27/2020,8,SPECIALTIME,,Friday,
3/26/2020,7.12,,,Thursday,
3/25/2020,8,SPECIALTIME,,Wednesday,
3/24/2020,7.22,,,Tuesday,
3/23/2020,5.83,SPECIALTIME,,Monday,39.95
3/21/2020,4.57,,,Saturday,
3/20/2020,8,SPECIALTIME,,Friday,
3/19/2020,8,SPECIALTIME,,Thursday,
3/18/2020,0,,,Wednesday,
3/17/2020,7.85,,,Tuesday,
3/16/2020,8.03,,,Monday,36.45
3/14/2020,4.48,,,Saturday,
3/13/2020,8,PTO,,Friday,
3/12/2020,9.4,,,Thursday,
3/11/2020,0,,,Wednesday,
3/10/2020,8.53,,,Tuesday,
3/9/2020,7.88,,,Monday,38.29
3/7/2020,0,,,Saturday,
3/6/2020,7.99,,,Friday,
3/5/2020,9.33,,,Thursday,
3/4/2020,8.57,,,Wednesday,
3/3/2020,7.84,,,Tuesday,
3/2/2020,6.67,,,Monday,40.4
